"","stfips","ctfips","st","cty","lon","lat","Uppm"
"94",5,23,"AR","CLEBURNE",-92.027,35.538,1.88281
"95",5,25,"AR","CLEVELAND",-92.185,33.898,1.85334
"96",5,27,"AR","COLUMBIA",-93.227,33.214,1.58625
"97",5,29,"AR","CONWAY",-92.701,35.262,2.13384
"98",5,31,"AR","CRAIGHEAD",-90.633,35.831,2.07303
"99",5,33,"AR","CRAWFORD",-94.244,35.588,1.88102
"100",5,35,"AR","CRITTENDEN",-90.309,35.206,2.07529
"101",5,37,"AR","CROSS",-90.771,35.296,2.26853
"102",5,39,"AR","DALLAS",-92.654,33.97,1.6472
"103",5,41,"AR","DESHA",-91.259,33.835,1.85657
"104",5,43,"AR","DREW",-91.719,33.59,1.79975
"105",5,45,"AR","FAULKNER",-92.332,35.146,2.15406
"106",5,47,"AR","FRANKLIN",-93.891,35.513,1.96134
"107",5,49,"AR","FULTON",-91.818,36.382,1.72088
"108",5,51,"AR","GARLAND",-93.15,34.576,1.70082
"109",5,53,"AR","GRANT",-92.423,34.29,1.80624
"110",5,55,"AR","GREENE",-90.558,36.118,2.09605
"111",5,57,"AR","HEMPSTEAD",-93.669,33.735,1.67497
"112",5,59,"AR","HOTSPRING",-92.946,34.318,1.67252
"113",5,61,"AR","HOWARD",-93.993,34.089,1.6384
"114",5,63,"AR","INDEPENDENCE",-91.57,35.741,1.9761
"115",5,65,"AR","IZARD",-91.914,36.094,1.44687
"116",5,67,"AR","JACKSON",-91.214,35.599,2.10858
"117",5,69,"AR","JEFFERSON",-91.932,34.269,1.86682
"118",5,71,"AR","JOHNSON",-93.46,35.57,1.97577
"119",5,73,"AR","LAFAYETTE",-93.608,33.242,1.62248
"120",5,75,"AR","LAWRENCE",-91.107,36.041,2.03848
"121",5,77,"AR","LEE",-90.778,34.782,1.95004
"122",5,79,"AR","LINCOLN",-91.733,33.957,1.83502
"123",5,81,"AR","LITTLERIVER",-94.235,33.7,1.52338
"124",5,83,"AR","LOGAN",-93.717,35.215,1.98625
"125",5,85,"AR","LONOKE",-91.889,34.754,1.9414
"126",5,87,"AR","MADISON",-93.724,36.011,1.73896
"127",5,89,"AR","MARION",-92.684,36.268,1.4293
"128",5,91,"AR","MILLER",-93.894,33.311,1.65128
"129",5,93,"AR","MISSISSIPPI",-90.053,35.764,2.04507
"130",5,95,"AR","MONROE",-91.203,34.679,1.89966
"131",5,97,"AR","MONTGOMERY",-93.659,34.539,1.68723
"132",5,99,"AR","NEVADA",-93.307,33.664,1.61448
"133",5,101,"AR","NEWTON",-93.218,35.92,1.59052
"134",5,103,"AR","OUACHITA",-92.882,33.593,1.63643
"135",5,105,"AR","PERRY",-92.932,34.947,1.85052
"136",5,107,"AR","PHILLIPS",-90.849,34.428,1.91815
"137",5,109,"AR","PIKE",-93.656,34.163,1.50265
"138",5,111,"AR","POINSETT",-90.663,35.574,2.12574
"139",5,113,"AR","POLK",-94.228,34.486,1.74222
"140",5,115,"AR","POPE",-93.034,35.449,1.96905
"141",5,117,"AR","PRAIRIE",-91.553,34.829,1.98853
"142",5,119,"AR","PULASKI",-92.311,34.77,1.79394
"143",5,121,"AR","RANDOLPH",-91.028,36.341,1.98633
"144",5,123,"AR","STFRANCIS",-90.748,35.022,2.16574
"145",5,125,"AR","SALINE",-92.677,34.647,1.7541
"146",5,127,"AR","SCOTT",-94.063,34.861,1.72812
"147",5,129,"AR","SEARCY",-92.699,35.911,1.63125
"148",5,131,"AR","SEBASTIAN",-94.274,35.199,1.94372
"149",5,133,"AR","SEVIER",-94.241,33.997,1.56745
"150",5,135,"AR","SHARP",-91.48,36.161,1.69873
"151",5,137,"AR","STONE",-92.157,35.859,1.56174
"152",5,139,"AR","UNION",-92.598,33.171,1.57249
"153",5,141,"AR","VANBUREN",-92.516,35.581,1.85868
"154",5,143,"AR","WASHINGTON",-94.214,35.98,1.72501
"155",5,145,"AR","WHITE",-91.745,35.256,2.17795
"156",5,147,"AR","WOODRUFF",-91.242,35.187,2.08367
"157",5,149,"AR","YELL",-93.41,35.003,1.96408
"158",6,1,"CA","ALAMEDA",-121.917,37.651,1.54997
"159",6,3,"CA","ALPINE",-119.819,38.597,2.18801
"160",6,5,"CA","AMADOR",-120.651,38.446,2.5718
"161",6,7,"CA","BUTTE",-121.599,39.667,1.04025
"162",6,9,"CA","CALAVERAS",-120.553,38.204,2.68298
"163",6,11,"CA","COLUSA",-122.235,39.179,1.32467
"164",6,13,"CA","CONTRACOSTA",-121.951,37.923,1.54202
"165",6,15,"CA","DELNORTE",-123.957,41.745,0.618752
"166",6,17,"CA","ELDORADO",-120.524,38.779,2.31432
"167",6,19,"CA","FRESNO",-119.65,36.758,2.68071
"168",6,21,"CA","GLENN",-122.391,39.599,1.18932
"169",6,23,"CA","HUMBOLDT",-123.913,40.706,0.992292
"170",6,25,"CA","IMPERIAL",-115.364,33.039,2.49404
"171",6,27,"CA","INYO",-117.411,36.512,2.53886
"172",6,29,"CA","KERN",-118.729,35.343,2.64711
"173",6,31,"CA","KINGS",-119.815,36.075,2.38313
"174",6,33,"CA","LAKE",-122.751,39.1,1.67538
"175",6,35,"CA","LASSEN",-120.593,40.674,1.0447
"176",6,37,"CA","LOSANGELES",-118.501,32.919,2.10113
"177",6,37,"CA","LOSANGELES",-118.233,34.334,2.10113
"178",6,37,"CA","LOSANGELES",-118.417,33.365,2.10113
"179",6,39,"CA","MADERA",-119.762,37.218,2.8447
"180",6,41,"CA","MARIN",-122.742,38.06,1.29143
"181",6,43,"CA","MARIPOSA",-119.907,37.579,2.34869
"182",6,45,"CA","MENDOCINO",-123.431,39.436,1.46772
"183",6,47,"CA","MERCED",-120.717,37.193,2.55011
"184",6,49,"CA","MODOC",-120.724,41.59,0.784871
"185",6,51,"CA","MONO",-118.886,37.939,3.27664
"186",6,53,"CA","MONTEREY",-121.308,36.24,2.30709
"187",6,55,"CA","NAPA",-122.331,38.507,1.93971
"188",6,57,"CA","NEVADA",-120.767,39.301,1.5161
"189",6,59,"CA","ORANGE",-117.775,33.677,2.17578
"190",6,61,"CA","PLACER",-120.716,39.064,2.01329
"191",6,63,"CA","PLUMAS",-120.837,40.004,1.30982
"192",6,65,"CA","RIVERSIDE",-115.993,33.744,2.72247
"193",6,67,"CA","SACRAMENTO",-121.345,38.446,2.41149
"194",6,69,"CA","SANBENITO",-121.074,36.606,2.21641
"195",6,71,"CA","SANBERNARDINO",-116.178,34.842,2.59193
"196",6,73,"CA","SANDIEGO",-116.77,33.028,1.84789
"197",6,75,"CA","SANFRANCISCO",-123.073,37.743,0
"198",6,75,"CA","SANFRANCISCO",-122.442,37.778,0
"199",6,77,"CA","SANJOAQUIN",-121.271,37.935,2.49129
"200",6,79,"CA","SANLUISOBISPO",-120.451,35.388,2.48984
"201",6,81,"CA","SANMATEO",-122.355,37.438,1.11912
"202",6,81,"CA","SANMATEO",-122.147,37.275,1.11912
"203",6,83,"CA","SANTABARBARA",-119.968,34.011,2.56646
"204",6,83,"CA","SANTABARBARA",-119.037,33.487,2.56646
"205",6,83,"CA","SANTABARBARA",-120.055,34.701,2.56646
"206",6,85,"CA","SANTACLARA",-121.695,37.233,1.64708
"207",6,87,"CA","SANTACRUZ",-122.008,37.021,1.83296
"208",6,89,"CA","SHASTA",-122.039,40.764,0.866229
"209",6,91,"CA","SIERRA",-120.515,39.58,1.58486
"210",6,93,"CA","SISKIYOU",-122.539,41.593,0.699093
"211",6,95,"CA","SOLANO",-121.941,38.268,1.81441
"212",6,97,"CA","SONOMA",-122.922,38.526,1.75664
"213",6,99,"CA","STANISLAUS",-120.997,37.559,2.36348
"214",6,101,"CA","SUTTER",-121.693,39.034,2.20258
"215",6,103,"CA","TEHAMA",-122.233,40.126,0.967277
"216",6,105,"CA","TRINITY",-123.111,40.652,0.807274
"217",6,107,"CA","TULARE",-118.8,36.22,2.70465
"218",6,109,"CA","TUOLUMNE",-119.952,38.027,2.46445
"219",6,111,"CA","VENTURA",-119.089,34.447,2.58324
"220",6,111,"CA","VENTURA",-119.416,34.015,2.58324
"221",6,111,"CA","VENTURA",-119.497,33.243,2.58324
"222",6,113,"CA","YOLO",-121.901,38.686,1.92205
"223",6,115,"CA","YUBA",-121.35,39.269,1.2608
"224",8,1,"CO","ADAMS",-104.345,39.875,2.36747
"225",8,1,"CO","ADAMS",-104.771,39.785,2.36747
"226",8,1,"CO","ADAMS",-104.762,39.782,2.36747
"227",8,3,"CO","ALAMOSA",-105.788,37.573,2.58517
"228",8,5,"CO","ARAPAHOE",-104.338,39.65,2.39613
"229",8,5,"CO","ARAPAHOE",-104.93,39.671,2.39613
"230",8,5,"CO","ARAPAHOE",-104.935,39.704,2.39613
"231",8,5,"CO","ARAPAHOE",-104.92,39.667,2.39613
"232",8,5,"CO","ARAPAHOE",-104.898,39.685,2.39613
"233",8,5,"CO","ARAPAHOE",-104.899,39.624,2.39613
"234",8,5,"CO","ARAPAHOE",-104.899,39.624,2.39613
"235",8,7,"CO","ARCHULETA",-107.048,37.194,1.80798
"236",8,9,"CO","BACA",-102.56,37.319,1.92763
"237",8,11,"CO","BENT",-103.071,37.955,2.03159
"238",8,13,"CO","BOULDER",-105.357,40.091,2.24611
"239",8,15,"CO","CHAFFEE",-106.195,38.747,2.75627
"240",8,17,"CO","CHEYENNE",-102.603,38.828,2.02233
"241",8,19,"CO","CLEARCREEK",-105.644,39.689,2.02318
"242",8,21,"CO","CONEJOS",-106.19,37.2,1.71222
"243",8,23,"CO","COSTILLA",-105.427,37.279,2.5321
"244",8,25,"CO","CROWLEY",-103.784,38.327,1.92557
"245",8,27,"CO","CUSTER",-105.366,38.108,2.04282
"246",8,29,"CO","DELTA",-107.862,38.861,2.68689
"247",8,31,"CO","DENVER",-104.876,39.762,1.70388
"248",8,31,"CO","DENVER",-104.93,39.671,1.70388
"249",8,31,"CO","DENVER",-105.081,39.636,1.70388
"250",8,31,"CO","DENVER",-105.064,39.653,1.70388
"251",8,31,"CO","DENVER",-105.062,39.653,1.70388
"252",8,31,"CO","DENVER",-104.935,39.704,1.70388
"253",8,31,"CO","DENVER",-104.92,39.667,1.70388
"254",8,31,"CO","DENVER",-104.898,39.685,1.70388
"255",8,31,"CO","DENVER",-104.771,39.785,1.70388
"256",8,31,"CO","DENVER",-104.762,39.782,1.70388
"257",8,31,"CO","DENVER",-104.899,39.624,1.70388
"258",8,31,"CO","DENVER",-104.899,39.624,1.70388
"259",8,33,"CO","DOLORES",-108.518,37.751,1.99745
"260",8,35,"CO","DOUGLAS",-104.929,39.33,2.16967
"261",8,37,"CO","EAGLE",-106.694,39.627,2.12943
"262",8,39,"CO","ELBERT",-104.136,39.287,2.26514
"263",8,41,"CO","ELPASO",-104.525,38.832,2.22144
"264",8,43,"CO","FREMONT",-105.439,38.473,2.81708
"265",8,45,"CO","GARFIELD",-107.903,39.599,2.26036
"266",8,47,"CO","GILPIN",-105.521,39.857,1.88149
"267",8,49,"CO","GRAND",-106.12,40.102,2.33075
"268",8,51,"CO","GUNNISON",-107.032,38.667,2.32059
"269",8,53,"CO","HINSDALE",-107.3,37.821,2.04239
"270",8,55,"CO","HUERFANO",-104.959,37.685,2.266
"271",8,57,"CO","JACKSON",-106.342,40.666,2.6171
"272",8,59,"CO","JEFFERSON",-105.249,39.588,1.93709
"273",8,59,"CO","JEFFERSON",-105.081,39.636,1.93709
"274",8,59,"CO","JEFFERSON",-105.064,39.653,1.93709
"275",8,59,"CO","JEFFERSON",-105.062,39.653,1.93709
"276",8,59,"CO","JEFFERSON",-105.056,39.635,1.93709
"277",8,59,"CO","JEFFERSON",-105.053,39.626,1.93709
"278",8,61,"CO","KIOWA",-102.74,38.433,2.05007
"279",8,63,"CO","KITCARSON",-102.602,39.305,2.1796
"280",8,65,"CO","LAKE",-106.344,39.201,2.56028
"281",8,67,"CO","LAPLATA",-107.843,37.287,1.8455
"282",8,69,"CO","LARIMER",-105.46,40.666,2.21146
"283",8,71,"CO","LASANIMAS",-104.039,37.316,2.27823
"284",8,73,"CO","LINCOLN",-103.514,38.988,1.99047
"285",8,75,"CO","LOGAN",-103.11,40.725,2.34699
"286",8,77,"CO","MESA",-108.466,39.018,2.11402
"287",8,79,"CO","MINERAL",-106.923,37.67,1.63763
"288",8,81,"CO","MOFFAT",-108.207,40.618,2.59788
"289",8,83,"CO","MONTEZUMA",-108.596,37.338,2.17456
"290",8,85,"CO","MONTROSE",-108.269,38.402,2.46689
"291",8,87,"CO","MORGAN",-103.809,40.263,2.18253
"292",8,89,"CO","OTERO",-103.716,37.903,2.17987
"293",8,91,"CO","OURAY",-107.768,38.155,2.14828
"294",8,93,"CO","PARK",-105.718,39.119,2.35011
"295",8,95,"CO","PHILLIPS",-102.357,40.594,2.2793
"296",8,97,"CO","PITKIN",-106.916,39.217,2.18739
"297",8,99,"CO","PROWERS",-102.393,37.955,2.23646
"298",8,101,"CO","PUEBLO",-104.512,38.173,2.53109
"299",8,103,"CO","RIOBLANCO",-108.216,39.98,2.39416
"300",8,105,"CO","RIOGRANDE",-106.382,37.582,1.55655
"301",8,107,"CO","ROUTT",-106.991,40.485,2.04792
"302",8,109,"CO","SAGUACHE",-106.28,38.081,2.22474
"303",8,111,"CO","SANJUAN",-107.676,37.764,1.53416
"304",8,113,"CO","SANMIGUEL",-108.405,38.003,2.18528
"305",8,115,"CO","SEDGWICK",-102.351,40.876,2.45542
"306",8,117,"CO","SUMMIT",-106.117,39.635,2.13999
"307",8,119,"CO","TELLER",-105.161,38.882,2.66727
"308",8,121,"CO","WASHINGTON",-103.201,39.971,2.30268
"309",8,123,"CO","WELD",-104.393,40.554,2.27769
"310",8,125,"CO","YUMA",-102.424,40.003,1.89392
"311",9,1,"CN","FAIRFIELD",-73.372,41.225,0
"312",9,3,"CN","HARTFORD",-72.733,41.806,0
"313",9,5,"CN","LITCHFIELD",-73.246,41.792,0
"314",9,7,"CN","MIDDLESEX",-72.523,41.435,0
"315",9,9,"CN","NEWHAVEN",-72.9,41.349,0
"316",9,11,"CN","NEWLONDON",-72.107,41.467,0
"317",9,13,"CN","TOLLAND",-72.337,41.855,0
"318",9,15,"CN","WINDHAM",-71.988,41.83,0
"319",10,1,"DE","KENT",-75.504,39.096,1.24012
"320",10,3,"DE","NEWCASTLE",-75.639,39.578,1.606
"321",10,5,"DE","SUSSEX",-75.34,38.683,0.881872
"322",11,1,"DC","DISTRICTOFCO",-77.017,38.904,0
"323",12,1,"FL","ALACHUA",-82.358,29.675,1.8288
"324",12,3,"FL","BAKER",-82.285,30.331,1.22516
"325",12,5,"FL","BAY",-85.633,30.237,0.652275
"326",12,7,"FL","BRADFORD",-82.17,29.95,1.49033
"327",12,9,"FL","BREVARD",-80.703,28.299,0.732869
"328",12,11,"FL","BROWARD",-80.456,26.151,0.435074
"329",12,13,"FL","CALHOUN",-85.196,30.406,1.25574
"330",12,15,"FL","CHARLOTTE",-81.951,26.899,0.805829
"331",12,17,"FL","CITRUS",-82.52,28.847,1.56489
"332",12,19,"FL","CLAY",-81.858,29.983,1.32301
"333",12,21,"FL","COLLIER",-81.381,26.099,0.837977
"334",12,23,"FL","COLUMBIA",-82.622,30.224,1.46117
"335",12,25,"FL","DADE",-80.501,25.608,1.02222
"336",12,27,"FL","DESOTO",-81.81,27.186,0.539096
"337",12,29,"FL","DIXIE",-83.186,29.583,1.18019
"338",12,29,"FL","DIXIE",-82.91,29.823,1.18019
"339",12,31,"FL","DUVAL",-81.648,30.335,1.42241
"340",12,33,"FL","ESCAMBIA",-87.332,30.609,1.28331
"341",12,33,"FL","ESCAMBIA",-86.857,30.385,1.28331
"342",12,35,"FL","FLAGLER",-81.293,29.471,0.936054
"343",12,37,"FL","FRANKLIN",-84.801,29.812,1.04632
"344",12,39,"FL","GADSDEN",-84.614,30.579,0.988752
"345",12,41,"FL","GILCHRIST",-82.799,29.725,1.23667
"346",12,43,"FL","GLADES",-81.189,26.956,0.51094
"347",12,45,"FL","GULF",-85.256,29.911,1.25138
"348",12,47,"FL","HAMILTON",-82.949,30.496,1.23431
"349",12,49,"FL","HARDEE",-81.81,27.492,0.72241
"350",12,51,"FL","HENDRY",-81.167,26.553,0.501542
"351",12,53,"FL","HERNANDO",-82.468,28.556,1.23873
"352",12,55,"FL","HIGHLANDS",-81.341,27.343,0.416227
"353",12,57,"FL","HILLSBOROUGH",-82.348,27.905,1.42517
"354",12,59,"FL","HOLMES",-85.814,30.868,1.31284
"355",12,61,"FL","INDIANRIVER",-80.574,27.696,0.374109
"356",12,63,"FL","JACKSON",-85.216,30.795,1.27947
"357",12,65,"FL","JEFFERSON",-83.901,30.422,1.264
"358",12,67,"FL","LAFAYETTE",-83.181,29.985,0.992988
"359",12,69,"FL","LAKE",-81.711,28.761,0.976231
"360",12,71,"FL","LEE",-81.916,26.576,0.895817
"361",12,73,"FL","LEON",-84.278,30.458,1.06142
"362",12,75,"FL","LEVY",-82.787,29.284,1.44199
"363",12,77,"FL","LIBERTY",-84.881,30.241,0.981992
"364",12,79,"FL","MADISON",-83.47,30.444,1.26816
"365",12,81,"FL","MANATEE",-82.357,27.477,0.723374
"366",12,83,"FL","MARION",-82.057,29.21,1.57682
"367",12,85,"FL","MARTIN",-80.399,27.081,0.440387
"368",12,87,"FL","MONROE",-82.897,24.634,1.45793
"369",12,87,"FL","MONROE",-81.122,25.074,1.45793
"370",12,89,"FL","NASSAU",-81.772,30.611,1.40369
"371",12,91,"FL","OKALOOSA",-86.593,30.662,1.15698
"372",12,93,"FL","OKEECHOBEE",-80.889,27.386,0.402213
"373",12,95,"FL","ORANGE",-81.324,28.514,0.785401
"374",12,97,"FL","OSCEOLA",-81.15,28.062,0.497291
"375",12,99,"FL","PALMBEACH",-80.437,26.647,0.354723
"376",12,101,"FL","PASCO",-82.439,28.307,1.02069
"377",12,103,"FL","PINELLAS",-82.741,27.904,0.810168
"378",12,105,"FL","POLK",-81.698,27.949,1.39947
"379",12,107,"FL","PUTNAM",-81.744,29.608,1.07664
"380",12,109,"FL","STJOHNS",-81.41,29.912,1.00482
"381",12,111,"FL","STLUCIE",-80.446,27.38,0.381751
"382",12,113,"FL","SANTAROSA",-87.02,30.698,1.2819
"383",12,113,"FL","SANTAROSA",-86.857,30.385,1.2819
"384",12,115,"FL","SARASOTA",-82.365,27.182,0.974772
"385",12,117,"FL","SEMINOLE",-81.239,28.716,0.883506
"386",12,119,"FL","SUMTER",-82.081,28.705,1.23718
"387",12,121,"FL","SUWANNEE",-82.992,30.196,1.53064
"388",12,123,"FL","TAYLOR",-83.619,30.019,1.08979
"389",12,125,"FL","UNION",-82.371,30.044,1.82107
"390",12,127,"FL","VOLUSIA",-81.148,29.062,0.854218
"391",12,129,"FL","WAKULLA",-84.376,30.148,0.498565
"392",12,131,"FL","WALTON",-86.172,30.619,1.14118
"393",12,133,"FL","WASHINGTON",-85.666,30.61,0.936545
"394",13,1,"GA","APPLING",-82.289,31.75,1.31179
"395",13,3,"GA","ATKINSON",-82.88,31.297,1.02875
"396",13,5,"GA","BACON",-82.453,31.554,1.21736
"397",13,7,"GA","BAKER",-84.444,31.326,1.78958
"398",13,9,"GA","BALDWIN",-83.25,33.069,2.04695
"399",13,11,"GA","BANKS",-83.498,34.354,1.93294
"400",13,13,"GA","BARROW",-83.713,33.993,2.82558
"401",13,15,"GA","BARTOW",-84.841,34.238,1.98795
"402",13,17,"GA","BENHILL",-83.22,31.76,1.89584
"403",13,19,"GA","BERRIEN",-83.23,31.276,1.48966
"404",13,21,"GA","BIBB",-83.698,32.807,2.39692
"405",13,23,"GA","BLECKLEY",-83.328,32.434,2.43673
"406",13,25,"GA","BRANTLEY",-81.982,31.197,0.950566
"407",13,27,"GA","BROOKS",-83.581,30.842,1.73042
"408",13,27,"GA","BROOKS",-83.321,30.635,1.73042
"409",13,29,"GA","BRYAN",-81.442,32.013,1.00006
"410",13,31,"GA","BULLOCH",-81.743,32.397,1.19457
"411",13,33,"GA","BURKE",-82,33.061,1.57103
"412",13,35,"GA","BUTTS",-83.958,33.289,2.95401
"413",13,37,"GA","CALHOUN",-84.625,31.529,1.82827
"414",13,39,"GA","CAMDEN",-81.635,30.923,1.5332
"415",13,43,"GA","CANDLER",-82.074,32.403,1.40872
"416",13,45,"GA","CARROLL",-85.08,33.582,2.35035
"417",13,47,"GA","CATOOSA",-85.138,34.903,1.85905
"418",13,49,"GA","CHARLTON",-82.138,30.782,0.779868
"419",13,51,"GA","CHATHAM",-81.087,31.975,0.820551
"420",13,53,"GA","CHATTAHOOCHEE",-84.787,32.347,1.74094
"421",13,55,"GA","CHATTOOGA",-85.345,34.475,1.78143
"422",13,57,"GA","CHEROKEE",-84.476,34.244,1.88673
"423",13,59,"GA","CLARKE",-83.367,33.951,3.07229
"424",13,61,"GA","CLAY",-84.981,31.626,1.6061
"425",13,63,"GA","CLAYTON",-84.358,33.542,2.14702
"426",13,65,"GA","CLINCH",-82.707,30.915,0.778364
"427",13,67,"GA","COBB",-84.577,33.941,1.49491
"428",13,69,"GA","COFFEE",-82.849,31.549,1.52899
"429",13,71,"GA","COLQUITT",-83.769,31.188,1.65121
"430",13,73,"GA","COLUMBIA",-82.263,33.544,1.95762
"431",13,75,"GA","COOK",-83.431,31.154,1.64253
"432",13,77,"GA","COWETA",-84.763,33.353,2.24497
"433",13,79,"GA","CRAWFORD",-83.985,32.714,2.03583
"434",13,81,"GA","CRISP",-83.768,31.923,1.68077
"435",13,83,"GA","DADE",-85.505,34.854,1.58374
"436",13,85,"GA","DAWSON",-84.171,34.444,2.31765
"437",13,87,"GA","DECATUR",-84.579,30.878,1.47547
"438",13,89,"GA","DEKALB",-84.226,33.771,3.15171
"439",13,91,"GA","DODGE",-83.169,32.172,2.29326
"440",13,93,"GA","DOOLY",-83.798,32.157,1.94056
"441",13,95,"GA","DOUGHERTY",-84.217,31.533,1.74749
