"","idnum","state","state2","stfips","zip","region","typebldg","floor","room","basement","windoor","rep","stratum","wave","starttm","stoptm","startdt","stopdt","activity","pcterr","adjwt","dupflag","zipflag","cntyfips","county"
"36",36,"AZ","AZ",4,85635,3,1,1,2,"N",NA," 5",2," 24",1600,1600,112087,112287,3.6,9.3,364.958323,0,0,3,"COCHISE             "
"37",37,"AZ","AZ",4,85635,3,1,1,1," ",NA," 1",2," 42",1700,1700,10188,10188,5.8,5.7,359.164059,1,0,3,"COCHISE             "
"38",38,"AZ","AZ",4,85635,3,1,1,3,"N",NA," 2",2," 39",1630,1930,10188,11188,11.1,3.3,363.432059,0,0,3,"COCHISE             "
"39",39,"AZ","AZ",4,85635,3,1,1,3,"N",NA," 5",2," 60",1000,1000,31188,31388,2.2,13,364.958323,0,0,3,"COCHISE             "
"40",40,"AZ","AZ",4,85635,3,1,1,3,"N",NA," 1",2," 82",1900,1900,52888,53088,0.4,0,359.164059,0,0,3,"COCHISE             "
"41",41,"AZ","AZ",4,85635,3,1,1,1,"N",NA," 5",2," 73",715,715,33188,40488,3.7,6.5,364.958323,0,0,3,"COCHISE             "
"42",42,"AZ","AZ",4,85635,3,1,1,1,"N",NA," 4",2," 80",1235,1505,41388,41588,1.8,13.9,364.80402,0,0,3,"COCHISE             "
"43",43,"AZ","AZ",4,85635,3,1,1,3,"N",NA," 2",2," 90",700,700,60688,60688,0.2,0,363.432059,0,0,3,"COCHISE             "
"44",44,"AZ","AZ",4,85635,3,1,1,1,"N",NA," 4",2," 93",600,730,60688,61188,0.4,0,364.80402,0,0,3,"COCHISE             "
"45",45,"AZ","AZ",4,85635,3,1,1,3,"N",NA," 4",2,"101",1744,1744,62088,62288,0.2,0,364.80402,0,0,3,"COCHISE             "
"46",46,"AZ","AZ",4,85635,3,1,1,2,"N",NA," 5",2,"107",2130,2130,61788,61988,0.1,0,364.958323,0,0,3,"COCHISE             "
"47",47,"AZ","AZ",4,85635,3,0,9,0," ",NA," 2",2,"122",1412,0,72788,10199,0,0,363.432059,0,0,3,"COCHISE             "
"48",48,"AZ","AZ",4,85635,3,1,1,3,"N",NA," 5",2,"124",1200,1200,70788,70788,0.1,0,364.958323,0,0,3,"COCHISE             "
"49",49,"AZ","AZ",4,85635,3,1,1,1,"N",NA," 1",2,"108",700,700,62188,62388,0.6,44.9,359.164059,0,0,3,"COCHISE             "
"50",50,"AZ","AZ",4,85635,3,1,1,3,"N",NA," 3",2,"  6",1700,1700,42988,50588,2.4,9.4,378.243829,0,0,3,"COCHISE             "
"51",51,"AZ","AZ",4,85638,3,0,9,0," ",NA," 3",2," 58",2300,1930,30388,30388,2,12.2,378.243829,0,0,3,"COCHISE             "
"52",52,"AZ","AZ",4,85638,3,1,1,1,"N",NA," 1",2," 66",1700,1700,31888,32088,4,17.8,359.164059,0,0,3,"COCHISE             "
"53",53,"AZ","AZ",4,85643,3,5,1,7,"N",NA," 3",2," 84",900,900,53088,60688,0.7,40.2,378.243829,1,0,3,"COCHISE             "
"54",54,"AZ","AZ",4,85643,3,1,1,7,"N",NA," 1",2,"  3",700,800,42688,42888,1.2,21,359.164059,0,0,3,"COCHISE             "
"55",55,"AZ","AZ",4,85012,1,1,0,7,"N",NA," 3",1," 55",1930,1930,30388,30388,2.1,12.6,147.43077,0,0,5,"COCONINO            "
"56",56,"AZ","AZ",4,85020,1,1,1,3,"N",NA," 3",1,"119",1430,1430,72288,72488,0.2,0,147.43077,1,0,5,"COCONINO            "
"57",57,"AZ","AZ",4,85029,1,0,9,0," ",NA," 5",1,"118",1330,1800,71388,71588,0.1,0,120.341352,1,0,5,"COCONINO            "
"58",58,"AZ","AZ",4,85258,1,1,1,3,"N",NA," 4",1," 86",735,730,52888,53088,0.2,0,150.245112,0,0,5,"COCONINO            "
"59",59,"AZ","AZ",4,85711,1,1,1,7,"N",NA," 2",1," 76",1615,300,31588,31888,0.6,26.5,136.060971,0,0,5,"COCONINO            "
"60",60,"AZ","AZ",4,86001,1,1,1,1,"N",NA," 4",1," 28",745,630,112887,120287,0.8,24.6,150.245112,0,0,5,"COCONINO            "
"61",61,"AZ","AZ",4,86001,1,1,1,3,"N",NA," 4",1," 30",830,2140,121087,121587,0.7,31.8,150.245112,0,0,5,"COCONINO            "
"62",62,"AZ","AZ",4,86001,1,1,1,1,"N",NA," 5",1," 33",2200,2030,120287,121287,3.8,5.9,120.341352,0,0,5,"COCONINO            "
"63",63,"AZ","AZ",4,86001,1,1,1,1,"N",NA," 1",1," 32",2130,2130,122087,122287,1.8,19.9,128.784975,0,0,5,"COCONINO            "
"64",64,"AZ","AZ",4,86001,1,1,1,3,"N",NA," 3",1," 36",1530,1645,121887,122087,3.8,7.4,147.43077,0,0,5,"COCONINO            "
"65",65,"AZ","AZ",4,86001,1,1,1,1,"N",NA," 4",1," 43",1738,738,11188,11388,3.2,13.9,150.245112,0,0,5,"COCONINO            "
"66",66,"AZ","AZ",4,86001,1,0,9,0," ",NA," 3",1," 39",1700,1730,122687,122887,1.1,35.5,147.43077,0,0,5,"COCONINO            "
"67",67,"AZ","AZ",4,86001,1,1,1,1,"N",NA," 1",1," 44",2100,850,11188,11488,3.7,9.6,128.784975,0,0,5,"COCONINO            "
"68",68,"AZ","AZ",4,86001,1,1,1,2,"N",NA," 3",1," 50",800,800,20288,20288,4.4,6.2,147.43077,0,0,5,"COCONINO            "
"69",69,"AZ","AZ",4,86001,1,5,1,1," ",NA," 3",1," 56",1500,1500,22588,22788,2.1,11.1,147.43077,1,0,5,"COCONINO            "
"70",70,"AZ","AZ",4,86001,1,1,1,7,"N",NA," 4",1," 58",2255,2300,22688,22888,3.6,7,150.245112,0,0,5,"COCONINO            "
"71",71,"AZ","AZ",4,86001,1,1,1,3,"N",NA," 1",1," 60",1935,1935,30388,30388,3,12.7,128.784975,0,0,5,"COCONINO            "
"72",72,"AZ","AZ",4,86001,1,2,1,3,"N",NA," 3",1," 63",1206,1206,31288,31488,0.3,0,147.43077,0,0,5,"COCONINO            "
"73",73,"AZ","AZ",4,86001,1,1,1,3,"N",NA," 3",1," 62",820,838,31388,31588,1.6,12.4,147.43077,0,0,5,"COCONINO            "
"74",74,"AZ","AZ",4,86001,1,1,1,7,"N",NA," 5",1," 64",1033,2006,31288,31488,9.6,3.5,120.341352,0,0,5,"COCONINO            "
"75",75,"AZ","AZ",4,86001,1,1,1,5,"N",NA," 2",1," 69",645,645,51888,52088,0.6,30.7,136.060971,0,0,5,"COCONINO            "
"76",76,"AZ","AZ",4,86001,1,1,1,1,"N",NA," 4",1," 86",720,728,52788,52988,1.7,18.5,150.245112,0,0,5,"COCONINO            "
"77",77,"AZ","AZ",4,86001,1,0,9,0," ",NA," 2",1," 91",1250,1330,62488,62688,0.7,83.1,136.060971,0,0,5,"COCONINO            "
"78",78,"AZ","AZ",4,86001,1,1,1,1,"N",NA," 5",1," 96",1905,2115,61488,61688,0.9,26.1,120.341352,0,0,5,"COCONINO            "
"79",79,"AZ","AZ",4,86001,1,1,1,1,"N",NA," 5",1," 98",1515,1515,61188,61388,12.9,4.9,120.341352,0,0,5,"COCONINO            "
"80",80,"AZ","AZ",4,86001,1,1,1,7,"N",NA," 1",1," 85",1800,2000,52688,52888,0.6,37.2,128.784975,0,0,5,"COCONINO            "
"81",81,"AZ","AZ",4,86001,1,1,1,1,"N",NA," 1",1,"115",800,800,62688,62888,7.7,3.8,128.784975,0,0,5,"COCONINO            "
"82",82,"AZ","AZ",4,86001,1,1,1,3,"N",NA," 2",1,"108",1700,1900,62288,62488,1.2,67.1,136.060971,0,0,5,"COCONINO            "
"83",83,"AZ","AZ",4,86001,1,1,1,7,"N",NA," 2",1,"  8",1950,955,43088,50588,8.3,3.4,136.060971,0,0,5,"COCONINO            "
"84",84,"AZ","AZ",4,86001,1,1,1,3,"N",NA," 5",1,"  9",1930,1930,51488,51688,1.2,19.4,120.341352,0,0,5,"COCONINO            "
"85",85,"AZ","AZ",4,86002,1,1,1,1,"N",NA," 1",1," 39",1730,1800,10188,11088,4.5,14.2,128.784975,0,0,5,"COCONINO            "
"86",86,"AZ","AZ",4,86002,1,5,1,3,"N",NA," 5",1," 45",2200,600,11288,11588,0.7,32.5,120.341352,0,0,5,"COCONINO            "
"87",87,"AZ","AZ",4,86004,1,1,1,1,"N",NA," 2",1," 23",817,817,113087,120287,2.6,13.6,136.060971,0,0,5,"COCONINO            "
"88",88,"AZ","AZ",4,86004,1,1,1,7,"N",NA," 5",1," 25",1145,1230,112087,112387,3.3,7.8,120.341352,0,0,5,"COCONINO            "
"89",89,"AZ","AZ",4,86004,1,1,1,3,"N",NA," 5",1," 27",745,745,112887,113087,1.1,37.6,120.341352,0,0,5,"COCONINO            "
"90",90,"AZ","AZ",4,86004,1,1,1,3,"N",NA," 2",1," 32",830,800,121587,121787,3.7,9.9,136.060971,0,0,5,"COCONINO            "
"91",91,"AZ","AZ",4,86004,1,1,1,3,"N",NA," 1",1," 55",1605,1605,22388,22588,2.1,12.9,128.784975,0,0,5,"COCONINO            "
"92",92,"AZ","AZ",4,86004,1,1,1,3,"N",NA," 1",1," 38",1930,2130,123087,10188,6.7,6.4,128.784975,0,0,5,"COCONINO            "
"93",93,"AZ","AZ",4,86004,1,1,1,1,"N",NA," 1",1," 45",805,805,12288,12488,1,18.4,128.784975,0,0,5,"COCONINO            "
"94",94,"AZ","AZ",4,86004,1,0,9,0," ",NA," 5",1," 45",1400,1400,11488,11688,1.4,33.4,120.341352,0,0,5,"COCONINO            "
"95",95,"AZ","AZ",4,86004,1,1,1,1," ",NA," 3",1," 51",730,840,20288,20288,2.4,11.9,147.43077,0,0,5,"COCONINO            "
"96",96,"AZ","AZ",4,86004,1,1,1,3,"N",NA," 2",1," 61",730,730,30388,30388,0.4,0,136.060971,0,0,5,"COCONINO            "
"97",97,"AZ","AZ",4,86004,1,1,1,3,"N",NA," 4",1," 61",1600,1950,30388,30388,3.4,8.4,150.245112,0,0,5,"COCONINO            "
"98",98,"AZ","AZ",4,86004,1,1,1,1,"N",NA," 2",1," 71",1035,1200,40488,40488,4,11.6,136.060971,1,0,5,"COCONINO            "
"99",99,"AZ","AZ",4,86004,1,1,1,5,"N",NA," 3",1," 71",2030,2230,40488,40488,1.5,15.6,147.43077,0,0,5,"COCONINO            "
"100",100,"AZ","AZ",4,86004,1,1,1,1,"N",NA," 4",1,"107",830,2300,62088,62288,0.5,35.3,150.245112,0,0,5,"COCONINO            "
"101",101,"AZ","AZ",4,86004,1,1,1,3,"N",NA," 1",1,"109",1900,2000,62688,62888,0.5,0,128.784975,0,0,5,"COCONINO            "
"102",102,"AZ","AZ",4,86004,1,5,1,7,"N",NA," 4",1,"116",1400,1600,70788,70788,0.2,0,150.245112,0,0,5,"COCONINO            "
"103",103,"AZ","AZ",4,86017,1,1,1,3,"N",NA," 4",1," 86",1120,1215,60688,60688,0.3,0,150.245112,0,0,5,"COCONINO            "
"104",104,"AZ","AZ",4,86017,1,1,1,2,"N",NA," 5",1,"115",1945,1949,62788,62988,0.7,47.5,120.341352,0,0,5,"COCONINO            "
"105",105,"AZ","AZ",4,86022,1,1,1,2,"N",NA," 3",1," 29",900,900,112887,113087,0.5,0,147.43077,0,0,5,"COCONINO            "
"106",106,"AZ","AZ",4,86022,1,2,1,3,"N",NA," 2",1," 75",1600,1600,40488,40488,0.5,0,136.060971,0,0,5,"COCONINO            "
"107",107,"AZ","AZ",4,86022,1,1,0,4,"Y",NA," 3",1," 75",800,800,42588,42788,2.3,9.1,147.43077,0,0,5,"COCONINO            "
"108",108,"AZ","AZ",4,86040,1,1,1,7,"N",NA," 1",1," 31",1715,1800,121387,121587,0.7,48.4,128.784975,0,0,5,"COCONINO            "
"109",109,"AZ","AZ",4,86040,1,0,9,0," ",NA," 5",1," 51",1045,0,21188,10199,0,0,120.341352,0,0,5,"COCONINO            "
"110",110,"AZ","AZ",4,86040,1,1,1,7,"N",NA," 2",1," 64",1810,1814,32288,32488,0.1,0,136.060971,0,0,5,"COCONINO            "
"111",111,"AZ","AZ",4,86040,1,1,1,3,"N",NA," 3",1," 67",1617,1617,32088,32288,1.1,15.4,147.43077,0,0,5,"COCONINO            "
"112",112,"AZ","AZ",4,86040,1,1,1,3,"N",NA," 4",1," 81",1800,1830,52388,52588,0.2,0,150.245112,0,0,5,"COCONINO            "
"113",113,"AZ","AZ",4,86040,1,1,1,2,"N",NA," 1",1,"  5",2030,330,70788,70788,0.1,0,128.784975,0,0,5,"COCONINO            "
"114",114,"AZ","AZ",4,86046,1,1,1,7,"N",NA," 2",1," 34",1100,1100,122687,122887,0.6,36.1,136.060971,0,0,5,"COCONINO            "
"115",115,"AZ","AZ",4,86046,1,1,1,2,"N",NA," 5",1," 50",1020,1100,13088,20288,1.4,16.3,120.341352,0,0,5,"COCONINO            "
"116",116,"AZ","AZ",4,86046,1,1,1,3,"N",NA," 3",1," 79",845,1100,42088,42288,0.1,0,147.43077,0,0,5,"COCONINO            "
"117",117,"AZ","AZ",4,86336,1,1,1,2,"N",NA," 5",1," 21",2000,2000,112187,112387,1.9,13.6,120.341352,0,0,5,"COCONINO            "
"118",118,"AZ","AZ",4,86336,1,1,1,1,"Y",NA," 1",1," 21",1000,1100,112187,112387,1.5,17.3,128.784975,0,0,5,"COCONINO            "
"119",119,"AZ","AZ",4,86336,1,1,1,7,"Y",NA," 2",1," 26",900,730,112787,112987,0.8,26.9,136.060971,0,0,5,"COCONINO            "
"120",120,"AZ","AZ",4,86336,1,1,1,1,"N",NA," 1",1," 26",1500,1500,120287,120287,1.1,26.1,128.784975,0,0,5,"COCONINO            "
"121",121,"AZ","AZ",4,86336,1,1,1,3,"N",NA," 5",1," 37",1115,1045,120287,120287,1.1,20.4,120.341352,0,0,5,"COCONINO            "
"122",122,"AZ","AZ",4,86336,1,0,9,0," ",NA," 1",1," 33",1430,1430,120287,120287,0.2,0,128.784975,0,0,5,"COCONINO            "
"123",123,"AZ","AZ",4,86336,1,1,0,4,"Y",NA," 2",1," 36",1000,1000,121987,122187,1.8,13.8,136.060971,0,0,5,"COCONINO            "
"124",124,"AZ","AZ",4,86336,1,1,1,2,"N",NA," 1",1," 43",745,745,10188,11188,0.8,24.3,128.784975,0,0,5,"COCONINO            "
"125",125,"AZ","AZ",4,86336,1,1,1,3,"N",NA," 2",1," 40",1350,1350,123187,10188,1,19.1,136.060971,0,0,5,"COCONINO            "
"126",126,"AZ","AZ",4,86336,1,1,0,2,"Y",NA," 3",1," 48",940,956,12888,13088,3.7,8.3,147.43077,0,0,5,"COCONINO            "
"127",127,"AZ","AZ",4,86336,1,1,1,1,"N",NA," 4",1," 67",2000,2030,32288,32488,0.6,30.6,150.245112,0,0,5,"COCONINO            "
"128",128,"AZ","AZ",4,86336,1,1,1,7,"N",NA," 1",1," 67",1500,1500,31788,32088,0.5,44.2,128.784975,0,0,5,"COCONINO            "
"129",129,"AZ","AZ",4,86336,1,1,1,3,"N",NA," 1",1," 78",1200,1200,41588,41788,0.9,26.3,128.784975,0,0,5,"COCONINO            "
"130",130,"AZ","AZ",4,86336,1,1,1,1,"N",NA," 1",1," 84",1830,1830,52588,52788,13.5,3.1,128.784975,0,0,5,"COCONINO            "
"131",131,"AZ","AZ",4,86336,1,1,1,1,"N",NA," 4",1," 85",700,700,60688,60688,0.4,0,150.245112,0,0,5,"COCONINO            "
"132",132,"AZ","AZ",4,86336,1,1,1,3,"N",NA," 5",1," 90",1000,1100,71088,71288,0.4,0,120.341352,0,0,5,"COCONINO            "
"133",133,"AZ","AZ",4,86336,1,1,1,3,"N",NA," 3",1," 98",1018,1100,72488,72688,0.8,41.5,147.43077,0,0,5,"COCONINO            "
"134",134,"AZ","AZ",4,86336,1,1,1,1,"N",NA," 1",1,"121",1430,1430,62988,70788,0.3,0,128.784975,0,0,5,"COCONINO            "
"135",135,"AZ","AZ",4,86336,1,1,1,5,"N",NA," 5",1,"111",800,800,70788,70788,0.1,0,120.341352,0,0,5,"COCONINO            "
"136",136,"AZ","AZ",4,86336,1,1,1,3,"N",NA," 3",1,"121",1427,1430,70788,70788,0.2,0,147.43077,0,0,5,"COCONINO            "
"137",137,"AZ","AZ",4,86336,1,1,1,2,"N",NA," 2",1,"122",1500,1515,70788,70788,1.4,23.5,136.060971,0,0,5,"COCONINO            "
"138",138,"AZ","AZ",4,86336,1,1,1,5,"N",NA," 4",1,"108",1130,1205,62088,62288,0.2,0,150.245112,0,0,5,"COCONINO            "
"139",139,"AZ","AZ",4,86336,1,0,9,0," ",NA," 4",1,"  1",2130,2130,50588,50588,0.9,30.7,150.245112,0,0,5,"COCONINO            "
"140",140,"AZ","AZ",4,86336,1,1,1,3,"N",NA," 3",1,"  5",700,700,50588,51188,0,0,147.43077,0,0,5,"COCONINO            "
"141",141,"AZ","AZ",4,86336,1,1,1,7,"N",NA," 1",1," 10",1045,1030,50588,50588,0.5,27.8,128.784975,2,0,5,"COCONINO            "
"142",142,"AZ","AZ",4,86336,1,1,1,1,"N",NA," 1",1," 12",1100,1100,50588,50588,0.5,36.7,128.784975,0,0,5,"COCONINO            "
"143",143,"AZ","AZ",4,86340,1,1,1,3,"N",NA," 5",1,"104",1340,1405,62888,63088,0.1,0,120.341352,0,0,5,"COCONINO            "
"144",144,"AZ","AZ",4,85501,2,1,1,3,"N",NA," 1",2," 57",810,815,22788,22988,0.9,19.6,359.164059,0,0,7,"GILA                "
"145",145,"AZ","AZ",4,85532,2,1,1,1,"N",NA," 2",2,"119",1900,1900,71188,71388,0,0,363.432059,0,0,7,"GILA                "
"146",146,"AZ","AZ",4,85539,2,1,0,4,"Y",NA," 5",2," 37",1630,1930,121787,121987,0.9,25.6,364.958323,0,0,7,"GILA                "
"147",147,"AZ","AZ",4,85541,2,1,1,2,"Y",NA," 1",2," 28",1600,1900,112987,120287,1.2,17,359.164059,0,0,7,"GILA                "
"148",148,"AZ","AZ",4,85541,2,1,1,7,"N",NA," 4",2," 44",700,700,11088,11288,2.1,11.3,364.80402,0,0,7,"GILA                "
"149",149,"AZ","AZ",4,85541,2,1,1,3,"N",NA," 4",2," 49",1345,1345,12188,12388,0.6,45.1,364.80402,0,0,7,"GILA                "
"150",150,"AZ","AZ",4,85541,2,1,1,3,"N",NA," 1",2," 72",1700,1800,40488,40488,0.7,35.6,359.164059,0,0,7,"GILA                "
"151",151,"AZ","AZ",4,85541,2,1,1,1,"N",NA," 5",2," 92",640,636,60688,61188,1.7,12,364.958323,0,0,7,"GILA                "
"152",152,"AZ","AZ",4,85541,2,1,1,2,"N",NA," 5",2," 94",1230,1230,61988,62188,0.3,0,364.958323,0,0,7,"GILA                "
"153",153,"AZ","AZ",4,85541,2,1,1,7,"N",NA," 2",2,"114",1230,1230,62688,62888,0.8,25.8,363.432059,0,0,7,"GILA                "
"154",154,"AZ","AZ",4,85541,2,1,1,3,"N",NA," 4",2," 13",800,800,51288,51488,1.3,20.2,364.80402,0,0,7,"GILA                "
"155",155,"AZ","AZ",4,85544,2,1,1,7,"N",NA," 5",2," 64",1445,800,31488,31788,1.7,14.2,364.958323,0,0,7,"GILA                "
"156",156,"AZ","AZ",4,85547,2,1,1,3,"N",NA," 5",2," 58",1100,1100,22988,30388,2.4,14.1,364.958323,0,0,7,"GILA                "
"157",157,"AZ","AZ",4,85536,2,1,1,1,"N",NA," 5",1," 86",645,639,52988,53188,0.3,0,120.341352,0,0,9,"GRAHAM              "
"158",158,"AZ","AZ",4,85543,2,1,1,3,"N",NA," 2",1," 57",1600,1400,22788,30388,1.5,13.4,136.060971,0,0,9,"GRAHAM              "
"159",159,"AZ","AZ",4,85543,2,1,1,3,"N",NA," 5",1," 99",0,0,61288,61488,0,0,120.341352,0,0,9,"GRAHAM              "
"160",160,"AZ","AZ",4,85543,2,0,9,0," ",NA," 5",1," 11",730,730,50588,50588,2.8,10.3,120.341352,0,0,9,"GRAHAM              "
"161",161,"AZ","AZ",4,85546,2,1,1,2,"N",NA," 3",1," 26",830,830,113087,120287,1.8,17.3,147.43077,0,0,9,"GRAHAM              "
"162",162,"AZ","AZ",4,85546,2,0,9,0," ",NA," 3",1," 25",1530,1630,112587,112787,2.7,10.4,147.43077,0,0,9,"GRAHAM              "
"163",163,"AZ","AZ",4,85546,2,1,1,3,"N",NA," 2",1," 32",530,530,120287,121187,1.1,23.3,136.060971,0,0,9,"GRAHAM              "
"164",164,"AZ","AZ",4,85546,2,1,1,3,"N",NA," 2",1," 31",1300,1400,120287,120287,2.4,11.5,136.060971,0,0,9,"GRAHAM              "
"165",165,"AZ","AZ",4,85546,2,1,1,1,"N",NA," 5",1," 35",1530,1530,121887,122087,0.7,63,120.341352,0,0,9,"GRAHAM              "
"166",166,"AZ","AZ",4,85546,2,1,1,2,"N",NA," 1",1," 41",1755,1755,10188,10188,2.1,12.3,128.784975,0,0,9,"GRAHAM              "
"167",167,"AZ","AZ",4,85546,2,1,1,3,"N",NA," 5",1," 46",700,900,11888,12088,0.7,31.5,120.341352,0,0,9,"GRAHAM              "
"168",168,"AZ","AZ",4,85546,2,1,1,1,"N",NA," 1",1," 57",2257,2350,22788,22988,0.6,67.9,128.784975,0,0,9,"GRAHAM              "
"169",169,"AZ","AZ",4,85546,2,1,1,1,"N",NA," 1",1," 58",730,730,30388,30388,1.5,18.4,128.784975,0,0,9,"GRAHAM              "
"170",170,"AZ","AZ",4,85546,2,1,1,1,"N",NA," 2",1," 70",1305,1315,32388,32588,0.8,25.4,136.060971,0,0,9,"GRAHAM              "
"171",171,"AZ","AZ",4,85546,2,1,1,2,"N",NA," 5",1," 83",1550,1830,52388,52588,1.2,26.8,120.341352,0,0,9,"GRAHAM              "
"172",172,"AZ","AZ",4,85546,2,1,1,1,"N",NA," 4",1," 97",1330,1530,61388,61588,0.2,0,150.245112,0,0,9,"GRAHAM              "
"173",173,"AZ","AZ",4,85546,2,1,1,2,"N",NA," 5",1," 87",600,600,60688,61088,0.6,35.1,120.341352,0,0,9,"GRAHAM              "
